Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age15_19,[15-19],22,0.17918228,,0.10356399
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age20_24,[20-24],64,0.27190076,,0.28752742
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age25_29,[25-29],281,0.85943235,,1.17892221
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age30_34,[30-34],716,1.75533219,,3.10595663
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age35_39,[35-39],1672,3.47746511,,7.73508553
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age40_44,[40-44],3461,6.13554575,,17.0537984
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age45_49,[45-49],6469,8.4638432,,32.25822698
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age50_54,[50-54],12199,10.63455118,,59.2823161
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age55_59,[55-59],21387,11.67234266,,99.27922641
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age60_64,[60-64],31738,12.33401083,,153.5525464
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age65_69,[65-69],37845,12.35198506,,212.385334
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age70_74,[70-74],43858,11.91408213,,305.5271235
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age75_79,[75-79],46311,11.63034825,,476.071768
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age80_84,[80-84],49358,11.64397619,,763.9137058
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age85_over,[85+],127398,12.57872937,,1905.450197
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age15_19,[15-19],17,0.18992291,,0.15690877
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age20_24,[20-24],47,0.26806593,,0.41509417
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age25_29,[25-29],222,0.94251507,,1.82799475
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age30_34,[30-34],555,1.96265648,,4.7425707
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age35_39,[35-39],1248,3.89197281,,11.4929075
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age40_44,[40-44],2564,7.03854178,,25.33951892
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age45_49,[45-49],4806,9.9804793,,48.20897054
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age50_54,[50-54],9163,12.78142,,88.79276053
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age55_59,[55-59],15718,13.82896358,,146.868852
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age60_64,[60-64],22917,14.5535255,,228.0324374
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age65_69,[65-69],26463,14.48154715,,312.6065382
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age70_74,[70-74],28922,13.82088568,,435.2105532
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age75_79,[75-79],28995,13.43910341,,670.096922
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age80_84,[80-84],28620,13.42987326,,1020.094289
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age85_over,[85+],57598,14.58472602,,2359.04136
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age15_19,[15-19],5,0.15028554,,0.04803726
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age20_24,[20-24],17,0.28309742,,0.15544971
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age25_29,[25-29],59,0.645373,,0.5046671
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age30_34,[30-34],161,1.28676471,,1.41850658
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age35_39,[35-39],424,2.64751795,,3.94164872
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age40_44,[40-44],897,4.4892648,,8.81484376
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age45_49,[45-49],1663,5.88110478,,16.49032857
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age50_54,[50-54],3036,7.05701867,,29.5956278
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age55_59,[55-59],5669,8.14886155,,52.29605898
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age60_64,[60-64],8821,8.83389749,,83.06607515
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age65_69,[65-69],11382,9.20486527,,121.6837776
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age70_74,[70-74],14936,9.40222592,,193.7389225
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age75_79,[75-79],17316,9.49133962,,320.6222546
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age80_84,[80-84],20738,9.83841432,,567.2972736
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age85_over,[85+],69800,11.2966005,,1644.521775
